interval_start_timestamp,days_in_guild,leavers
2021-06-02T00:00:00+00:00,'Members for 1 month+',7
2021-06-02T00:00:00+00:00,'Members for < 1 month',1
2021-06-03T00:00:00+00:00,'Members for 1 month+',5
2021-06-03T00:00:00+00:00,'Members for < 1 month',3
2021-06-04T00:00:00+00:00,'Members for 1 month+',2
2021-06-04T00:00:00+00:00,'Members for < 1 month',5
2021-06-05T00:00:00+00:00,'Members for 1 month+',4
2021-06-05T00:00:00+00:00,'Members for < 1 month',3
2021-06-06T00:00:00+00:00,'Members for 1 month+',4
2021-06-06T00:00:00+00:00,'Members for < 1 month',14
2021-06-07T00:00:00+00:00,'Members for 1 month+',1
2021-06-07T00:00:00+00:00,'Members for < 1 month',2
2021-06-08T00:00:00+00:00,'Members for 1 month+',3
2021-06-08T00:00:00+00:00,'Members for < 1 month',2
2021-06-09T00:00:00+00:00,'Members for < 1 month',2
2021-06-10T00:00:00+00:00,'Members for 1 month+',6
2021-06-10T00:00:00+00:00,'Members for < 1 month',5
2021-06-11T00:00:00+00:00,'Members for 1 month+',3
2021-06-11T00:00:00+00:00,'Members for < 1 month',2
2021-06-12T00:00:00+00:00,'Members for 1 month+',2
2021-06-12T00:00:00+00:00,'Members for < 1 month',5
2021-06-13T00:00:00+00:00,'Members for 1 month+',4
2021-06-13T00:00:00+00:00,'Members for < 1 month',6
2021-06-14T00:00:00+00:00,'Members for 1 month+',5
2021-06-14T00:00:00+00:00,'Members for < 1 month',3
2021-06-15T00:00:00+00:00,'Members for 1 month+',4
2021-06-15T00:00:00+00:00,'Members for < 1 month',2
2021-06-16T00:00:00+00:00,'Members for 1 month+',7
2021-06-16T00:00:00+00:00,'Members for < 1 month',4
2021-06-17T00:00:00+00:00,'Members for 1 month+',5
2021-06-17T00:00:00+00:00,'Members for < 1 month',5
2021-06-18T00:00:00+00:00,'Members for 1 month+',2
2021-06-19T00:00:00+00:00,'Members for 1 month+',4
2021-06-19T00:00:00+00:00,'Members for < 1 month',2
2021-06-20T00:00:00+00:00,'Members for 1 month+',5
2021-06-20T00:00:00+00:00,'Members for < 1 month',2
2021-06-21T00:00:00+00:00,'Members for 1 month+',2
2021-06-21T00:00:00+00:00,'Members for < 1 month',4
2021-06-22T00:00:00+00:00,'Members for < 1 month',6
2021-06-23T00:00:00+00:00,'Members for 1 month+',4
2021-06-23T00:00:00+00:00,'Members for < 1 month',3
2021-06-24T00:00:00+00:00,'Members for 1 month+',3
2021-06-24T00:00:00+00:00,'Members for < 1 month',4
2021-06-25T00:00:00+00:00,'Members for 1 month+',3
2021-06-25T00:00:00+00:00,'Members for < 1 month',2
2021-06-26T00:00:00+00:00,'Members for 1 month+',4
2021-06-26T00:00:00+00:00,'Members for < 1 month',2
2021-06-27T00:00:00+00:00,'Members for 1 month+',3
2021-06-27T00:00:00+00:00,'Members for < 1 month',104
2021-06-28T00:00:00+00:00,'Members for 1 month+',1
2021-06-28T00:00:00+00:00,'Members for < 1 month',4
2021-06-29T00:00:00+00:00,'Members for 1 month+',4
2021-06-29T00:00:00+00:00,'Members for < 1 month',2
2021-06-30T00:00:00+00:00,'Members for < 1 month',1
2021-07-01T00:00:00+00:00,'Members for 1 month+',1
2021-07-01T00:00:00+00:00,'Members for < 1 month',2
2021-07-02T00:00:00+00:00,'Members for 1 month+',3
2021-07-02T00:00:00+00:00,'Members for < 1 month',3
2021-07-03T00:00:00+00:00,'Members for 1 month+',2
2021-07-03T00:00:00+00:00,'Members for < 1 month',3
2021-07-04T00:00:00+00:00,'Members for 1 month+',2
2021-07-04T00:00:00+00:00,'Members for < 1 month',6
2021-07-05T00:00:00+00:00,'Members for 1 month+',1
2021-07-05T00:00:00+00:00,'Members for < 1 month',9
2021-07-06T00:00:00+00:00,'Members for 1 month+',3
2021-07-06T00:00:00+00:00,'Members for < 1 month',2
2021-07-07T00:00:00+00:00,'Members for 1 month+',3
2021-07-07T00:00:00+00:00,'Members for < 1 month',2
2021-07-08T00:00:00+00:00,'Members for 1 month+',4
2021-07-08T00:00:00+00:00,'Members for < 1 month',3
2021-07-09T00:00:00+00:00,'Members for 1 month+',2
2021-07-09T00:00:00+00:00,'Members for < 1 month',4
2021-07-10T00:00:00+00:00,'Members for 1 month+',3
2021-07-10T00:00:00+00:00,'Members for < 1 month',4
2021-07-11T00:00:00+00:00,'Members for 1 month+',5
2021-07-11T00:00:00+00:00,'Members for < 1 month',1
2021-07-12T00:00:00+00:00,'Members for 1 month+',8
2021-07-12T00:00:00+00:00,'Members for < 1 month',5
2021-07-13T00:00:00+00:00,'Members for 1 month+',4
2021-07-13T00:00:00+00:00,'Members for < 1 month',11
2021-07-14T00:00:00+00:00,'Members for 1 month+',4
2021-07-14T00:00:00+00:00,'Members for < 1 month',2
2021-07-15T00:00:00+00:00,'Members for 1 month+',4
2021-07-15T00:00:00+00:00,'Members for < 1 month',3
2021-07-16T00:00:00+00:00,'Members for 1 month+',6
2021-07-16T00:00:00+00:00,'Members for < 1 month',3
2021-07-17T00:00:00+00:00,'Members for 1 month+',2
2021-07-17T00:00:00+00:00,'Members for < 1 month',3
2021-07-18T00:00:00+00:00,'Members for 1 month+',2
2021-07-18T00:00:00+00:00,'Members for < 1 month',4
2021-07-19T00:00:00+00:00,'Members for 1 month+',2
2021-07-19T00:00:00+00:00,'Members for < 1 month',5
2021-07-20T00:00:00+00:00,'Members for 1 month+',6
2021-07-20T00:00:00+00:00,'Members for < 1 month',1
2021-07-21T00:00:00+00:00,'Members for 1 month+',2
2021-07-21T00:00:00+00:00,'Members for < 1 month',203
2021-07-22T00:00:00+00:00,'Members for 1 month+',2
2021-07-23T00:00:00+00:00,'Members for 1 month+',3
2021-07-23T00:00:00+00:00,'Members for < 1 month',4
2021-07-24T00:00:00+00:00,'Members for 1 month+',2
2021-07-24T00:00:00+00:00,'Members for < 1 month',14
2021-07-25T00:00:00+00:00,'Members for < 1 month',9
2021-07-26T00:00:00+00:00,'Members for 1 month+',4
2021-07-26T00:00:00+00:00,'Members for < 1 month',4
2021-07-27T00:00:00+00:00,'Members for 1 month+',3
2021-07-27T00:00:00+00:00,'Members for < 1 month',7
2021-07-28T00:00:00+00:00,'Members for 1 month+',4
2021-07-28T00:00:00+00:00,'Members for < 1 month',5
2021-07-29T00:00:00+00:00,'Members for 1 month+',7
2021-07-29T00:00:00+00:00,'Members for < 1 month',17
2021-07-30T00:00:00+00:00,'Members for 1 month+',5
2021-07-30T00:00:00+00:00,'Members for < 1 month',10
2021-07-31T00:00:00+00:00,'Members for 1 month+',3
2021-07-31T00:00:00+00:00,'Members for < 1 month',9
2021-08-01T00:00:00+00:00,'Members for 1 month+',15
2021-08-01T00:00:00+00:00,'Members for < 1 month',13
2021-08-02T00:00:00+00:00,'Members for 1 month+',7
2021-08-02T00:00:00+00:00,'Members for < 1 month',15
2021-08-03T00:00:00+00:00,'Members for 1 month+',3
2021-08-03T00:00:00+00:00,'Members for < 1 month',6
2021-08-04T00:00:00+00:00,'Members for 1 month+',7
2021-08-04T00:00:00+00:00,'Members for < 1 month',7
2021-08-05T00:00:00+00:00,'Members for 1 month+',5
2021-08-05T00:00:00+00:00,'Members for < 1 month',6
2021-08-06T00:00:00+00:00,'Members for 1 month+',8
2021-08-06T00:00:00+00:00,'Members for < 1 month',5
2021-08-07T00:00:00+00:00,'Members for 1 month+',9
2021-08-07T00:00:00+00:00,'Members for < 1 month',4
2021-08-08T00:00:00+00:00,'Members for 1 month+',4
2021-08-08T00:00:00+00:00,'Members for < 1 month',6
2021-08-09T00:00:00+00:00,'Members for 1 month+',7
2021-08-09T00:00:00+00:00,'Members for < 1 month',5
2021-08-10T00:00:00+00:00,'Members for 1 month+',11
2021-08-10T00:00:00+00:00,'Members for < 1 month',7
2021-08-11T00:00:00+00:00,'Members for 1 month+',8
2021-08-11T00:00:00+00:00,'Members for < 1 month',5
2021-08-12T00:00:00+00:00,'Members for 1 month+',6
2021-08-12T00:00:00+00:00,'Members for < 1 month',72
2021-08-13T00:00:00+00:00,'Members for 1 month+',13
2021-08-13T00:00:00+00:00,'Members for < 1 month',9
2021-08-14T00:00:00+00:00,'Members for 1 month+',2
2021-08-14T00:00:00+00:00,'Members for < 1 month',2
2021-08-15T00:00:00+00:00,'Members for 1 month+',3
2021-08-15T00:00:00+00:00,'Members for < 1 month',8
2021-08-16T00:00:00+00:00,'Members for 1 month+',8
2021-08-16T00:00:00+00:00,'Members for < 1 month',8
2021-08-17T00:00:00+00:00,'Members for 1 month+',6
2021-08-17T00:00:00+00:00,'Members for < 1 month',2
2021-08-18T00:00:00+00:00,'Members for 1 month+',10
2021-08-18T00:00:00+00:00,'Members for < 1 month',2
2021-08-19T00:00:00+00:00,'Members for 1 month+',10
2021-08-19T00:00:00+00:00,'Members for < 1 month',12
2021-08-20T00:00:00+00:00,'Members for 1 month+',4
2021-08-20T00:00:00+00:00,'Members for < 1 month',4
2021-08-21T00:00:00+00:00,'Members for 1 month+',6
2021-08-21T00:00:00+00:00,'Members for < 1 month',3
2021-08-22T00:00:00+00:00,'Members for 1 month+',7
2021-08-22T00:00:00+00:00,'Members for < 1 month',6
2021-08-23T00:00:00+00:00,'Members for 1 month+',14
2021-08-23T00:00:00+00:00,'Members for < 1 month',5
2021-08-24T00:00:00+00:00,'Members for 1 month+',9
2021-08-24T00:00:00+00:00,'Members for < 1 month',8
2021-08-25T00:00:00+00:00,'Members for 1 month+',13
2021-08-25T00:00:00+00:00,'Members for < 1 month',3
2021-08-26T00:00:00+00:00,'Members for 1 month+',8
2021-08-26T00:00:00+00:00,'Members for < 1 month',10
2021-08-27T00:00:00+00:00,'Members for 1 month+',10
2021-08-27T00:00:00+00:00,'Members for < 1 month',1
2021-08-28T00:00:00+00:00,'Members for 1 month+',14
2021-08-28T00:00:00+00:00,'Members for < 1 month',7
2021-08-29T00:00:00+00:00,'Members for 1 month+',11
2021-08-29T00:00:00+00:00,'Members for < 1 month',6
2021-08-30T00:00:00+00:00,'Members for 1 month+',8
2021-08-30T00:00:00+00:00,'Members for < 1 month',4
2021-08-31T00:00:00+00:00,'Members for 1 month+',15
2021-08-31T00:00:00+00:00,'Members for < 1 month',8
2021-09-01T00:00:00+00:00,'Members for 1 month+',16
2021-09-01T00:00:00+00:00,'Members for < 1 month',7
2021-09-02T00:00:00+00:00,'Members for 1 month+',11
2021-09-02T00:00:00+00:00,'Members for < 1 month',5
2021-09-03T00:00:00+00:00,'Members for 1 month+',9
2021-09-03T00:00:00+00:00,'Members for < 1 month',7
2021-09-04T00:00:00+00:00,'Members for 1 month+',16
2021-09-04T00:00:00+00:00,'Members for < 1 month',7
2021-09-05T00:00:00+00:00,'Members for 1 month+',8
2021-09-05T00:00:00+00:00,'Members for < 1 month',1
2021-09-06T00:00:00+00:00,'Members for 1 month+',6
2021-09-06T00:00:00+00:00,'Members for < 1 month',8
2021-09-07T00:00:00+00:00,'Members for 1 month+',8
2021-09-07T00:00:00+00:00,'Members for < 1 month',7
2021-09-08T00:00:00+00:00,'Members for 1 month+',7
2021-09-08T00:00:00+00:00,'Members for < 1 month',6
2021-09-09T00:00:00+00:00,'Members for 1 month+',10
2021-09-09T00:00:00+00:00,'Members for < 1 month',11
2021-09-10T00:00:00+00:00,'Members for 1 month+',14
2021-09-10T00:00:00+00:00,'Members for < 1 month',57
2021-09-11T00:00:00+00:00,'Members for 1 month+',13
2021-09-11T00:00:00+00:00,'Members for < 1 month',4
2021-09-12T00:00:00+00:00,'Members for 1 month+',10
2021-09-12T00:00:00+00:00,'Members for < 1 month',5
2021-09-13T00:00:00+00:00,'Members for 1 month+',8
2021-09-13T00:00:00+00:00,'Members for < 1 month',6
2021-09-14T00:00:00+00:00,'Members for 1 month+',17
2021-09-14T00:00:00+00:00,'Members for < 1 month',8
2021-09-15T00:00:00+00:00,'Members for 1 month+',22
2021-09-15T00:00:00+00:00,'Members for < 1 month',55
2021-09-16T00:00:00+00:00,'Members for 1 month+',11
2021-09-16T00:00:00+00:00,'Members for < 1 month',94
2021-09-17T00:00:00+00:00,'Members for 1 month+',12
2021-09-17T00:00:00+00:00,'Members for < 1 month',12
2021-09-18T00:00:00+00:00,'Members for 1 month+',8
2021-09-18T00:00:00+00:00,'Members for < 1 month',7
2021-09-19T00:00:00+00:00,'Members for 1 month+',8
2021-09-19T00:00:00+00:00,'Members for < 1 month',4
2021-09-20T00:00:00+00:00,'Members for 1 month+',8
2021-09-20T00:00:00+00:00,'Members for < 1 month',7
2021-09-21T00:00:00+00:00,'Members for 1 month+',16
2021-09-21T00:00:00+00:00,'Members for < 1 month',8
2021-09-22T00:00:00+00:00,'Members for 1 month+',15
2021-09-22T00:00:00+00:00,'Members for < 1 month',10
2021-09-23T00:00:00+00:00,'Members for 1 month+',17
2021-09-23T00:00:00+00:00,'Members for < 1 month',10
2021-09-24T00:00:00+00:00,'Members for 1 month+',9
2021-09-24T00:00:00+00:00,'Members for < 1 month',15
2021-09-25T00:00:00+00:00,'Members for 1 month+',8
2021-09-25T00:00:00+00:00,'Members for < 1 month',6
2021-09-26T00:00:00+00:00,'Members for 1 month+',6
2021-09-26T00:00:00+00:00,'Members for < 1 month',3
2021-09-27T00:00:00+00:00,'Members for 1 month+',15
2021-09-27T00:00:00+00:00,'Members for < 1 month',11