interval_start_timestamp,total_membership
2021-06-02T00:00:00+00:00,4371
2021-06-03T00:00:00+00:00,4420
2021-06-04T00:00:00+00:00,4462
2021-06-05T00:00:00+00:00,4475
2021-06-06T00:00:00+00:00,4475
2021-06-07T00:00:00+00:00,4483
2021-06-08T00:00:00+00:00,4493
2021-06-09T00:00:00+00:00,4531
2021-06-10T00:00:00+00:00,4503
2021-06-11T00:00:00+00:00,4522
2021-06-12T00:00:00+00:00,9089
2021-06-13T00:00:00+00:00,4554
2021-06-14T00:00:00+00:00,4607
2021-06-15T00:00:00+00:00,4595
2021-06-16T00:00:00+00:00,4619
2021-06-17T00:00:00+00:00,4636
2021-06-18T00:00:00+00:00,4636
2021-06-19T00:00:00+00:00,4545
2021-06-20T00:00:00+00:00,4565
2021-06-21T00:00:00+00:00,4575
2021-06-22T00:00:00+00:00,4582
2021-06-23T00:00:00+00:00,4588
2021-06-24T00:00:00+00:00,4575
2021-06-25T00:00:00+00:00,4589
2021-06-26T00:00:00+00:00,4595
2021-06-27T00:00:00+00:00,4595
2021-06-28T00:00:00+00:00,4576
2021-06-29T00:00:00+00:00,4572
2021-06-30T00:00:00+00:00,4606
2021-07-01T00:00:00+00:00,4612
2021-07-02T00:00:00+00:00,4622
2021-07-03T00:00:00+00:00,4586
2021-07-04T00:00:00+00:00,4548
2021-07-05T00:00:00+00:00,4538
2021-07-06T00:00:00+00:00,4545
2021-07-07T00:00:00+00:00,4591
2021-07-08T00:00:00+00:00,4636
2021-07-09T00:00:00+00:00,4706
2021-07-10T00:00:00+00:00,4742
2021-07-11T00:00:00+00:00,4742
2021-07-12T00:00:00+00:00,4746
2021-07-13T00:00:00+00:00,4788
2021-07-14T00:00:00+00:00,4945
2021-07-15T00:00:00+00:00,5040
2021-07-16T00:00:00+00:00,5161
2021-07-17T00:00:00+00:00,5161
2021-07-18T00:00:00+00:00,5204
2021-07-19T00:00:00+00:00,5188
2021-07-20T00:00:00+00:00,5211
2021-07-21T00:00:00+00:00,5242
2021-07-22T00:00:00+00:00,5319
2021-07-23T00:00:00+00:00,5389
2021-07-24T00:00:00+00:00,5424
2021-07-25T00:00:00+00:00,5478
2021-07-26T00:00:00+00:00,5521
2021-07-27T00:00:00+00:00,5673
2021-07-28T00:00:00+00:00,5673
2021-07-29T00:00:00+00:00,5740
2021-07-30T00:00:00+00:00,5728
2021-07-31T00:00:00+00:00,5760
2021-08-01T00:00:00+00:00,5762
2021-08-02T00:00:00+00:00,5781
2021-08-03T00:00:00+00:00,5721
2021-08-04T00:00:00+00:00,5772
2021-08-05T00:00:00+00:00,5790
2021-08-06T00:00:00+00:00,5823
2021-08-07T00:00:00+00:00,5893
2021-08-08T00:00:00+00:00,5919
2021-08-09T00:00:00+00:00,5968
2021-08-10T00:00:00+00:00,5968
2021-08-11T00:00:00+00:00,6024
2021-08-12T00:00:00+00:00,6037
2021-08-13T00:00:00+00:00,6051
2021-08-14T00:00:00+00:00,6037
2021-08-15T00:00:00+00:00,6037
2021-08-16T00:00:00+00:00,6063
2021-08-17T00:00:00+00:00,6082
2021-08-18T00:00:00+00:00,6105
2021-08-19T00:00:00+00:00,6130
2021-08-20T00:00:00+00:00,6174
2021-08-21T00:00:00+00:00,6203
2021-08-22T00:00:00+00:00,6176
2021-08-23T00:00:00+00:00,6177
2021-08-24T00:00:00+00:00,6193
2021-08-25T00:00:00+00:00,6202
2021-08-26T00:00:00+00:00,6293
2021-08-27T00:00:00+00:00,6293
2021-08-28T00:00:00+00:00,6266
2021-08-29T00:00:00+00:00,6267
2021-08-30T00:00:00+00:00,6264
2021-08-31T00:00:00+00:00,6264
2021-09-01T00:00:00+00:00,6292
2021-09-02T00:00:00+00:00,6311
2021-09-03T00:00:00+00:00,6301
2021-09-04T00:00:00+00:00,6301
2021-09-05T00:00:00+00:00,6292
2021-09-06T00:00:00+00:00,6292
2021-09-07T00:00:00+00:00,6287
2021-09-08T00:00:00+00:00,6288
2021-09-09T00:00:00+00:00,6319
2021-09-10T00:00:00+00:00,6319
2021-09-11T00:00:00+00:00,6378
2021-09-12T00:00:00+00:00,6425
2021-09-13T00:00:00+00:00,6418
2021-09-14T00:00:00+00:00,6426
2021-09-15T00:00:00+00:00,6426
2021-09-16T00:00:00+00:00,6437
2021-09-17T00:00:00+00:00,6596
2021-09-18T00:00:00+00:00,6684
2021-09-19T00:00:00+00:00,6695
2021-09-20T00:00:00+00:00,6698
2021-09-21T00:00:00+00:00,6702
2021-09-22T00:00:00+00:00,6880
2021-09-23T00:00:00+00:00,6865
2021-09-24T00:00:00+00:00,6923
2021-09-25T00:00:00+00:00,6923
2021-09-26T00:00:00+00:00,6921
2021-09-27T00:00:00+00:00,6924